gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur
2L_patten2_1_52	-0.0712933	0.0736873	5.82933	0.12909	0.494904	0.108785
2L_patten2_1_53	-0.0635403	0.0655256	5.08412	0.253165	0.428504	0.105025
2L_patten2_1_54	-0.0323487	0.033932	4.34878	0.396652	0.309872	0.113155
2L_patten2_1_55	-0.0338635	0.0296914	3.88804	0.519004	0.300305	0.147624
2L_patten2_1_56	-0.0242539	0.0248342	3.87712	0.531261	0.300193	0.154105
2L_patten2_1_57	-0.00400471	0.00445956	3.80336	0.55904	0.322447	0.173926
2L_patten2_1_58	-0.0208424	0.0211327	4.22169	0.590345	0.511554	0.257368
2L_patten2_1_59	-0.0317001	0.0347408	3.97231	0.598529	0.522598	0.261073
2L_patten2_1_60	-0.0414377	0.0407334	3.51448	0.788345	0.765326	0.389357
2L_patten2_1_61	-0.0461898	0.0423617	6.39539	-0.0302367	0.488592	0.0997989
2L_patten2_1_62	-0.0468872	0.0429789	5.76216	0.0417305	0.437197	0.0984174
2L_patten2_1_63	-0.0378018	0.0365752	5.58956	0.0810027	0.40192	0.0915962
2L_patten2_1_64	-0.0413847	0.040883	4.75802	0.21581	0.312301	0.0886922
2L_patten2_1_65	-0.0456628	0.0387867	4.50624	0.281194	0.324207	0.103258
2L_patten2_1_66	-0.0430548	0.0352759	4.19797	0.362595	0.329558	0.119815
2L_patten2_1_67	-0.0108581	0.00662887	4.2856	0.452918	0.53031	0.247063
2L_patten2_1_68	-0.0255281	0.0175036	3.72739	0.668568	0.756505	0.351837
2L_patten_1_39	-0.0883413	0.0838682	6.21741	0.680843	0.473756	0.160553
2L_patten_1_40	-0.0695216	0.071514	5.6433	0.757955	0.430914	0.143795
2L_patten_1_41	-0.0704435	0.0765446	4.88122	1.03979	0.392917	0.142942
2L_patten_1_42	-0.0216155	0.0183685	4.35626	1.09942	0.344687	0.169203
2L_patten_1_43	-0.039426	0.0400722	4.5214	1.18718	0.318544	0.252942
2L_patten_1_44	-0.0115819	0.0112121	4.72899	1.05562	0.281463	0.239772
2L_patten_1_45	-0.016449	0.0187118	4.76174	1.09894	0.305319	0.264012
2L_patten_1_46	-0.0887133	0.0897661	4.17101	1.36256	0.502361	0.297216
2L_patten_1_47	-0.084294	0.0775495	4.8897	1.48277	0.68742	0.445286
2L_patten_1_48	-0.0312622	0.0322843	5.58234	0.424927	0.434228	0.116204
2L_patten_1_49	-0.0431455	0.0455821	4.98089	0.508437	0.395724	0.10582
2L_patten_1_50	-0.0456075	0.0395245	4.27313	0.698017	0.315645	0.121124
Anchor_4_0	0	0	-5.99262	-0.524764	-0.0958226	-0.0308589
BAR_ISO_1_1	0.111994	-0.242967	-3.06331	-1.72463	-1.4875	-0.535582
BAR_ISO_1_10	0.451056	-0.648522	-4.66808	-1.72967	-1.10424	-0.439862
BAR_ISO_1_11	0.422969	-0.63827	-5.04263	-1.83205	-1.07319	-0.416668
BAR_ISO_1_12	0.111109	-0.370104	-3.37033	-1.87131	-1.55994	-0.562612
BAR_ISO_1_13	0.124968	-0.311002	-3.22526	-1.64686	-1.45806	-0.541305
BAR_ISO_1_14	0.084854	-0.24913	-3.20311	-1.50715	-1.34124	-0.498892
BAR_ISO_1_15	0.119781	-0.264355	-3.19057	-1.28302	-1.19119	-0.447901
BAR_ISO_1_16	0.0863307	-0.207573	-3.1532	-1.21527	-1.13874	-0.435812
BAR_ISO_1_17	0.0280571	-0.163637	-3.14318	-1.21365	-1.11947	-0.439109
BAR_ISO_1_18	0.328973	-0.437244	-4.8031	-1.77563	-0.908708	-0.413776
BAR_ISO_1_19	0.143868	-0.280442	-4.02927	-1.80482	-1.10601	-0.458287
BAR_ISO_1_2	0.119118	-0.300714	-3.17778	-1.69574	-1.38775	-0.517905
BAR_ISO_1_20	0.0780408	-0.228948	-3.99909	-1.77469	-1.04522	-0.451365
BAR_ISO_1_21	0.309508	-0.505806	-4.39103	-1.66622	-1.07766	-0.441645
BAR_ISO_1_22	0.298918	-0.460013	-4.59084	-1.67512	-1.02855	-0.399975
BAR_ISO_1_23	0.103189	-0.408855	-3.44724	-1.8053	-1.61818	-0.586049
BAR_ISO_1_24	0.0941254	-0.299558	-3.31343	-1.58804	-1.46256	-0.492167
BAR_ISO_1_25	0.0951759	-0.251404	-3.24926	-1.36978	-1.32781	-0.457557
BAR_ISO_1_26	0.127208	-0.281716	-3.29177	-1.24515	-1.24704	-0.467317
BAR_ISO_1_27	0.0925617	-0.220317	-3.24713	-1.17747	-1.18858	-0.445161
BAR_ISO_1_28	0.0402166	-0.166112	-3.19966	-1.13963	-1.15372	-0.418982
BAR_ISO_1_29	0.245453	-0.339374	-4.31571	-1.67519	-0.891396	-0.413491
BAR_ISO_1_3	0.0785631	-0.217583	-3.14295	-1.56349	-1.27696	-0.47771
BAR_ISO_1_30	0.0530007	-0.177743	-3.77474	-1.70011	-1.12207	-0.450367
BAR_ISO_1_31	0.0703437	-0.196111	-3.83552	-1.61579	-1.02115	-0.416653
BAR_ISO_1_32	0.089306	-0.221162	-3.95387	-1.63562	-0.995975	-0.418506
BAR_ISO_1_33	0.211406	-0.366417	-4.10503	-1.42462	-0.946683	-0.401956
BAR_ISO_1_34	0.0851322	-0.193657	-3.2068	-1.27021	-1.0529	-0.40289
BAR_ISO_1_35	0.0260879	-0.148845	-3.16544	-1.25015	-1.00762	-0.397163
BAR_ISO_1_36	0.050879	-0.178974	-3.30537	-1.27552	-0.985667	-0.398688
BAR_ISO_1_37	0.0748894	-0.205287	-3.36579	-1.29549	-0.958708	-0.401099
BAR_ISO_1_38	0.178198	-0.324558	-3.61826	-1.36553	-0.970352	-0.407992
BAR_ISO_1_39	0.211071	-0.377305	-3.81599	-1.51961	-1.00452	-0.437714
BAR_ISO_1_4	0.109357	-0.241994	-3.19823	-1.33197	-1.13933	-0.426814
BAR_ISO_1_40	0.153449	-0.327856	-3.8741	-1.5888	-0.995099	-0.446999
BAR_ISO_1_41	0.232933	-0.282436	-4.05391	-1.54709	-0.951219	-0.440534
BAR_ISO_1_42	0.154742	-0.188991	-4.02623	-1.517	-0.935103	-0.434007
BAR_ISO_1_43	0.086423	-0.104354	-3.92766	-1.49637	-0.899529	-0.428683
BAR_ISO_1_44	0.045153	-0.0643413	-3.92177	-1.49802	-0.891269	-0.424875
BAR_ISO_1_5	0.100189	-0.220793	-3.15934	-1.25088	-1.08333	-0.412986
BAR_ISO_1_6	0.0267579	-0.149859	-3.09462	-1.26085	-1.05473	-0.414702
BAR_ISO_1_7	0.525839	-0.670777	-5.51931	-2.03708	-0.993748	-0.423936
BAR_ISO_1_8	0.085895	-0.227369	-3.99394	-1.8831	-1.07812	-0.452549
