gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur	mse
2L_patten2_1_52	-0.0712933	0.07368730000000001	5.829330000000001	0.12909	0.494904	0.10878499999999999	2.084313109686234
2L_patten2_1_53	-0.06354030000000001	0.0655256	5.0841199999999995	0.25316500000000003	0.428504	0.105025	1.8194290639606374
2L_patten2_1_54	-0.0323487	0.033932	4.3487800000000005	0.396652	0.309872	0.11315499999999999	1.5561283743515786
2L_patten2_1_55	-0.0338635	0.0296914	3.88804	0.519004	0.30030500000000004	0.147624	1.4000263673380053
2L_patten2_1_56	-0.024253900000000002	0.0248342	3.8771199999999997	0.531261	0.300193	0.154105	1.3968535444190207
2L_patten2_1_57	-0.00400471	0.00445956	3.80336	0.55904	0.322447	0.173926	1.3747852283848092
2L_patten2_1_58	-0.0208424	0.0211327	4.22169	0.590345	0.511554	0.257368	1.5420503981689464
2L_patten2_1_59	-0.031700099999999995	0.0347408	3.97231	0.598529	0.522598	0.261073	1.458902868579958
2L_patten2_1_60	-0.041437699999999994	0.0407334	3.5144800000000003	0.788345	0.7653260000000001	0.389357	1.3640566490508583
2L_patten2_1_61	-0.0461898	0.042361699999999995	6.39539	-0.030236700000000002	0.488592	0.0997989	2.2812272401388203
2L_patten2_1_62	-0.0468872	0.0429789	5.76216	0.041730500000000004	0.437197	0.0984174	2.055218496007452
2L_patten2_1_63	-0.0378018	0.036575199999999995	5.58956	0.0810027	0.40192	0.0915962	1.9920315658706316
2L_patten2_1_64	-0.041384699999999996	0.040882999999999996	4.75802	0.21581	0.312301	0.0886922	1.6951834133703252
2L_patten2_1_65	-0.0456628	0.03878669999999999	4.50624	0.281194	0.324207	0.10325799999999999	1.6091477268164245
2L_patten2_1_66	-0.0430548	0.0352759	4.19797	0.362595	0.329558	0.119815	1.5040655911630754
2L_patten2_1_67	-0.0108581	0.00662887	4.2856	0.45291800000000004	0.5303100000000001	0.247063	1.5603040620839774
2L_patten2_1_68	-0.025528099999999998	0.017503599999999998	3.72739	0.668568	0.756505	0.351837	1.4222370654303105
2L_patten_1_39	-0.0883413	0.0838682	6.21741	0.680843	0.47375600000000007	0.160553	2.2314144580126447
2L_patten_1_40	-0.0695216	0.071514	5.6433	0.757955	0.430914	0.143795	2.031287024441049
2L_patten_1_41	-0.07044349999999999	0.0765446	4.88122	1.03979	0.392917	0.142942	1.7819188048636085
2L_patten_1_42	-0.0216155	0.0183685	4.35626	1.09942	0.34468699999999997	0.169203	1.6035736339013442
2L_patten_1_43	-0.039425999999999996	0.040072199999999995	4.5214	1.18718	0.318544	0.252942	1.6667335194273272
2L_patten_1_44	-0.011581900000000001	0.011212100000000001	4.7289900000000005	1.05562	0.281463	0.23977199999999999	1.7238436243314323
2L_patten_1_45	-0.016449000000000002	0.0187118	4.7617400000000005	1.09894	0.305319	0.26401199999999997	1.7403957546951514
2L_patten_1_46	-0.08871330000000001	0.0897661	4.17101	1.36256	0.502361	0.297216	1.585688306762441
2L_patten_1_47	-0.08429400000000001	0.07754950000000001	4.8897	1.4827700000000001	0.68742	0.44528599999999996	1.8620153986098722
2L_patten_1_48	-0.031262200000000004	0.0322843	5.58234	0.42492700000000005	0.43422799999999995	0.116204	1.9976319627771884
2L_patten_1_49	-0.043145499999999996	0.0455821	4.9808900000000005	0.508437	0.39572399999999996	0.10582000000000001	1.7872011275318058
2L_patten_1_50	-0.0456075	0.0395245	4.27313	0.698017	0.315645	0.121124	1.543699949828192
Anchor_4_0	0.0	0.0	-5.99262	-0.524764	-0.09582260000000001	-0.030858899999999998	2.1276562781561275
BAR_ISO_1_1	0.11199400000000001	-0.24296700000000002	-3.06331	-1.7246299999999999	-1.4875	-0.535582	1.555418321579801
BAR_ISO_1_10	0.451056	-0.648522	-4.668080000000001	-1.72967	-1.1042399999999999	-0.439862	1.9124028735717538
BAR_ISO_1_11	0.422969	-0.63827	-5.04263	-1.83205	-1.0731899999999999	-0.41666800000000004	2.0309984748204823
BAR_ISO_1_12	0.11110899999999999	-0.370104	-3.3703300000000005	-1.8713099999999998	-1.5599399999999999	-0.562612	1.6817780129613198
BAR_ISO_1_13	0.12496800000000001	-0.311002	-3.22526	-1.6468599999999998	-1.4580600000000001	-0.541305	1.5770866005887645
BAR_ISO_1_14	0.084854	-0.24913000000000002	-3.2031099999999997	-1.50715	-1.34124	-0.498892	1.5102296263019075
BAR_ISO_1_15	0.119781	-0.264355	-3.19057	-1.28302	-1.19119	-0.44790100000000005	1.4303637847321833
BAR_ISO_1_16	0.0863307	-0.207573	-3.1532	-1.21527	-1.1387399999999999	-0.435812	1.3941937372158635
BAR_ISO_1_17	0.028057099999999998	-0.16363699999999998	-3.14318	-1.21365	-1.11947	-0.439109	1.3844018139665237
BAR_ISO_1_18	0.328973	-0.43724399999999997	-4.8031	-1.7756299999999998	-0.908708	-0.41377600000000003	1.9095319558445794
BAR_ISO_1_19	0.143868	-0.280442	-4.0292699999999995	-1.80482	-1.10601	-0.458287	1.7128754703990086
BAR_ISO_1_2	0.119118	-0.300714	-3.17778	-1.6957400000000002	-1.38775	-0.5179050000000001	1.5461328233792286
BAR_ISO_1_20	0.07804080000000001	-0.228948	-3.9990900000000003	-1.77469	-1.04522	-0.45136499999999996	1.683817756090072
BAR_ISO_1_21	0.309508	-0.5058060000000001	-4.391030000000001	-1.66622	-1.07766	-0.44164499999999995	1.805829864419161
BAR_ISO_1_22	0.29891799999999996	-0.460013	-4.59084	-1.6751200000000002	-1.02855	-0.399975	1.8546067022086516
BAR_ISO_1_23	0.10318900000000002	-0.408855	-3.4472400000000003	-1.8053	-1.61818	-0.5860489999999999	1.7146193110989316
BAR_ISO_1_24	0.09412539999999998	-0.299558	-3.3134300000000003	-1.58804	-1.46256	-0.492167	1.591334251873179
BAR_ISO_1_25	0.0951759	-0.251404	-3.24926	-1.36978	-1.32781	-0.457557	1.5002019370615498
BAR_ISO_1_26	0.127208	-0.28171599999999997	-3.2917699999999996	-1.24515	-1.24704	-0.467317	1.4733213116377992
BAR_ISO_1_27	0.0925617	-0.220317	-3.24713	-1.17747	-1.18858	-0.445161	1.432817663369841
BAR_ISO_1_28	0.0402166	-0.16611199999999998	-3.1996599999999997	-1.13963	-1.15372	-0.41898199999999997	1.4024330044374471
BAR_ISO_1_29	0.24545300000000003	-0.33937399999999995	-4.31571	-1.6751900000000002	-0.891396	-0.413491	1.7378784307602617
BAR_ISO_1_3	0.07856310000000001	-0.217583	-3.14295	-1.56349	-1.27696	-0.47771	1.4788609457142434
BAR_ISO_1_30	0.0530007	-0.177743	-3.77474	-1.7001099999999998	-1.1220700000000001	-0.450367	1.6260916109393442
BAR_ISO_1_31	0.0703437	-0.19611099999999998	-3.83552	-1.61579	-1.02115	-0.416653	1.6072974384374104
BAR_ISO_1_32	0.089306	-0.221162	-3.9538699999999998	-1.63562	-0.995975	-0.41850600000000004	1.639979985666403
BAR_ISO_1_33	0.21140599999999998	-0.366417	-4.10503	-1.42462	-0.9466829999999999	-0.401956	1.6549154847539798
BAR_ISO_1_34	0.0851322	-0.193657	-3.2068	-1.27021	-1.0529	-0.40289	1.3887884014189238
BAR_ISO_1_35	0.0260879	-0.148845	-3.1654400000000003	-1.25015	-1.0076200000000002	-0.397163	1.3605767835012295
BAR_ISO_1_36	0.050879	-0.178974	-3.30537	-1.27552	-0.985667	-0.398688	1.399134236708008
BAR_ISO_1_37	0.0748894	-0.205287	-3.36579	-1.29549	-0.958708	-0.401099	1.413012355501287
BAR_ISO_1_38	0.178198	-0.324558	-3.61826	-1.36553	-0.970352	-0.407992	1.5035282053741126
BAR_ISO_1_39	0.211071	-0.377305	-3.81599	-1.5196100000000001	-1.00452	-0.43771400000000005	1.5920379666979523
BAR_ISO_1_4	0.109357	-0.24199400000000001	-3.19823	-1.33197	-1.13933	-0.426814	1.4208152589526286
BAR_ISO_1_40	0.153449	-0.327856	-3.8741	-1.5888	-0.995099	-0.446999	1.6137861757270153
BAR_ISO_1_41	0.232933	-0.282436	-4.05391	-1.5470899999999999	-0.951219	-0.44053400000000004	1.6534140662514032
BAR_ISO_1_42	0.15474200000000002	-0.18899100000000002	-4.02623	-1.517	-0.935103	-0.434007	1.6348965806520073
BAR_ISO_1_43	0.086423	-0.104354	-3.92766	-1.49637	-0.8995290000000001	-0.428683	1.592765728409117
BAR_ISO_1_44	0.045153	-0.0643413	-3.9217699999999995	-1.4980200000000001	-0.8912690000000001	-0.424875	1.5887936660522775
BAR_ISO_1_5	0.100189	-0.220793	-3.1593400000000003	-1.25088	-1.08333	-0.41298599999999996	1.3827638309499024
BAR_ISO_1_6	0.0267579	-0.149859	-3.09462	-1.26085	-1.05473	-0.41470200000000007	1.355494985212847
BAR_ISO_1_7	0.5258390000000001	-0.6707770000000001	-5.51931	-2.03708	-0.993748	-0.423936	2.1932069337718114
BAR_ISO_1_8	0.085895	-0.22736900000000002	-3.9939400000000003	-1.8831	-1.07812	-0.452549	1.7047186625432875
BAR_ISO_1_9	0.08072710000000001	-0.238067	-4.08373	-1.86295	-1.03158	-0.446194	1.7176359899364377
BicMac_27_0	0.0	0.0	-5.6446	-0.34839499999999995	0.42299799999999993	0.23645500000000003	2.017906747320785
BicMac_27_1	0.0	0.0	-4.55578	-0.296536	0.41624300000000003	0.194717	1.63557155235303
BicMac_27_10	0.0	0.0	-4.9932300000000005	-0.0166565	0.5118779999999999	0.22925500000000001	1.7948272335927369
BicMac_27_11	0.0	0.0	-4.6494599999999995	-0.026034500000000002	0.469735	0.194465	1.6702516888814334
BicMac_27_12	0.0	0.0	-4.51601	-0.0381376	0.441321	0.17761300000000002	1.6206341293428073
BicMac_27_13	0.0	0.0	-4.08948	-0.11783800000000001	0.306829	0.107629	1.4590985475631864
BicMac_27_14	0.0	0.0	-3.97349	-0.168431	0.233654	0.0787417	1.413637798921982
