Version v0.1
#Ridge Detection testing
width	height	pixel	centerx	centery	bbox_xini	bbox_yini	bbox_xend	bbox_yend
offsetx	offsety	angle	weight	confidence	intensity	slope	band_width	ridge_intensity	curvature	contrast

1024	1024	1.000000	-1.000000	-1.000000	213	213	811	811
35	6291
14	0
213	432	-2.635637196034433	1	1	32608	-4.5050429193183845	0	888.6866084057638	0	0
213	433	-2.636238751525363	1	1	32419	-39.73448266039077	0	831.7145648402839	0	0
213	434	-2.6100004951391056	1	1	31773	-58.45729803799975	0	711.7628430224036	0	0
213	435	-2.4728810429793335	1	1	30397	-59.262966897046226	0	564.0086682416826	0	0
213	436	1.3788232109947711	1	1	29033	-24.824452598523123	0	457.0651305937712	0	0
213	437	1.7335066395777534	1	1	27647	-18.12698470600276	0	426.97332153595426	0	0
213	438	1.7912616503408538	1	1	26384	-15.644584678332706	0	401.7315825602585	0	0
213	439	1.7855196261098478	1	1	25284	-11.977699338417892	0	373.5227512605974	0	0
213	440	1.75751974580017	1	1	24413	-7.742638713041401	0	345.4160776167994	0	0
213	441	1.73565137818024	1	1	23640	-2.6274322551315663	0	321.7376275626874	0	0
214	442	1.7780395059887433	1	1	23315	-7.158838154807427	0	308.55682267204645	0	0
214	443	1.8008510509836937	1	1	22987	-7.489354472359992	0	304.80073653545975	0	0
214	444	1.861116672706745	1	1	23812	-7.280045664583383	0	304.97941335938606	0	0
215	445	1.9299889076558836	1	1	23744	-5.653546079554133	0	307.0343426834279	0	0
23	1
213	482	2.66182552842283	1	1	32228	-59.63933948763736	0	834.7104388797113	0	0
213	483	2.6909132015048782	1	1	32963	-22.70017183434709	0	973.5454465358955	0	0
213	481	2.5772562347915304	1	1	30708	-66.26206120389611	0	638.8144651025516	0	0
213	480	2.1235494029397506	1	1	29200	-27.222686226461008	0	463.5027333460475	0	0
213	479	1.4716106183773288	1	1	27625	-11.02445778025691	0	415.5803492743177	0	0
213	478	1.361561436894186	1	1	26667	-12.779441347799263	0	401.8550678145857	0	0
213	477	1.3354805758820962	1	1	25306	-10.441544561732599	0	385.81516106883646	0	0
213	476	1.3285898803988978	1	1	24471	-4.839401520868364	0	366.4684971360282	0	0
214	475	1.2592792475785566	1	1	24259	-10.011940181079297	0	346.56347390504857	0	0
214	474	1.2600243945148961	1	1	24372	-8.310856082239354	0	329.60047643126046	0	0
214	473	1.2943085494919917	1	1	23522	-5.9671644079314206	0	311.8288197640589	0	0
214	472	1.3668762023208794	1	1	23568	-4.044746647235456	0	297.42924455844616	0	0
214	471	1.500887571899076	1	1	23610	-2.8839688917662443	0	289.18078193845236	0	0
214	470	1.924777531472345	1	1	23370	-2.7897777563257478	0	289.1921922591397	0	0
214	469	2.3854461075470685	1	1	23640	-1.5981595570661398	0	299.69358818429026	0	0
213	468	2.2774960680556404	1	1	24113	-1.6958005219887013	0	302.7214100903863	0	0
213	467	2.046130609806535	1	1	24475	-4.18453098257271	0	300.3580561302076	0	0
213	466	1.8745058647372659	1	1	24451	-5.988955450355547	0	301.50865093320994	0	0
213	465	1.715846773856423	1	1	24330	-5.998249978620777	0	304.90152133151054	0	0
213	464	-2.9455057113040897	1	1	24629	-7.32513390331917	0	331.84791394155826	0	0
213	463	-2.951786828529644	1	1	24879	-3.4598064311157373	0	349.3255929206434	0	0
214	462	-2.751138056459619	1	1	24929	-3.20538070104908	0	338.5617818735767	0	0
214	484	2.6257454843118784	1	1	33148	-20.194420046907	0	1034.5373866767077	0	0
210	2
213	684	-2.6980613765296795	1	1	31447	-20.603521093871905	0	756.5430704480511	0	0
213	685	-2.6738820949710504	1	1	30501	-42.70611770837843	0	641.3637467170477	0	0
214	683	-2.621297444660585	1	1	32238	-9.940887048337459	0	826.0899381589345	0	0
215	682	-2.5539873015967536	1	1	32605	-15.088240563918816	0	879.0330709189043	0	0
216	681	-2.4703866670854246	1	1	33348	-19.910206903970447	0	914.7115175716237	0	0
217	680	-2.3841933423416948	1	1	33250	-28.20026916390634	0	943.6565197751274	0	0
218	679	0.8136099091008646	1	1	33550	-37.98904756534341	0	972.7441791304119	0	0
219	678	0.855297761991603	1	1	33827	-45.36573569263885	0	991.1594743398929	0	0
220	677	0.9037271705924272	1	1	33573	-48.571234889400785	0	994.3978009345374	0	0
220	676	0.9297387000667421	1	1	33311	-48.755641027712954	0	999.1771696966497	0	0
221	675	0.9892892704016921	1	1	33256	-56.94237284612984	0	1022.9357548263438	0	0
222	674	1.0433027333797347	1	1	33596	-62.62126158521278	0	1040.1913172611648	0	0
222	673	1.0488644846154342	1	1	33864	-69.10417110696596	0	1073.496310213494	0	0
223	672	1.0905543371516748	1	1	34182	-78.27884422012903	0	1099.7767760309303	0	0
223	671	1.0951664368405376	1	1	34616	-82.01391101261561	0	1113.920570680505	0	0
224	670	1.1073189111607995	1	1	34354	-81.20319454768764	0	1117.457034446923	0	0
224	669	1.1134719177022723	1	1	34178	-79.71336300367898	0	1112.3506375391355	0	0
225	668	1.1263526131060049	1	1	34286	-77.98270923598375	0	1115.4243058240645	0	0
225	667	1.1359535644520693	1	1	34388	-77.5470200009654	0	1125.1372969822578	0	0
