GAUGE	type	tone_sgn	base_x	base_y	head_x	head_y	plot_CD	draw_CD	wafer_CD	cost_wt	GroupName	Mask_size	CD	range_min	range_max	check_status	Model Error	Model CD	Error %	Through Cond. Error	ADI Model CD	ILS Result (1/um)	AI_CD	Gauge Center X	Gauge Center Y	Spec_error
Site_R1_C2	1D	1	1516550	6841548.4	1516550	6841421.6	130	63.4	73.26	25	Anchor	pw	70	-2	2	1	0.78	74.04	1.06	1.47	0	22.2375	67.91	0	0	0
Site_R111_C1	2D	-1	2011553.55	6845650	2011553.55	6845600	171	50	53.83	0.2	broken_H	pw	60	-5	5	1	-6	47.83	11.14	5.33	0	11.5065	46.75	0	0	0.995352
Site_R111_C2	2D	-1	2011553.55	6841509.2	2011553.55	6841460.8	176	48.4	52.91	0.2	broken_H	2D	60	-5	5	1	-7.29	45.62	13.78	7.29	0	11.5317	42.23	0	0	2.29022
Site_R111_C3	2D	-1	2011553.55	6837327.6	2011553.5	6837362.3	186	34.7	56.03	0.2	broken_H	2D	60	-5	5	1	-9.68	46.35	17.27	9.68	0	9.95748	23.17	0	0	4.67869
Site_R111_C4	2D	-1	2011553.55	6833225.9	2011553.55	6833184.1	201	41.8	51.49	-1	broken_H	2D	60	-5	5	1	0	0	0	0	0	0	0	0	0	
Site_R111_C5	2D	-1	2011553.55	6829083.7	2011553.55	6829046.3	221	37.4	46.99	1	broken_H	2D	60	-5	5	1	-4.49	42.5	9.55	4.49	0	17.4867	36.54	0	0	0
Site_R111_C6	2D	-1	2011553.55	6824941	2011553.55	6824909	251	32	87.12	-1	broken_H	2D	60	-5	5	1	0	0	0	0	0	0	0	0	0	
Site_R112_C1	2D	-1	2016050	6846125	2016050	6845125	171	49	51.71	1	broken_H	vrf	60	-5	5	1	-1.7	50.01	3.29	1.7	0	14.0078	50.77	0	0	0
Site_R112_C2	2D	-1	2016050	6841985	2016050	6840985	176	49	53.64	1	broken_H	vrf	60	-5	5	1	-4.59	49.05	8.56	4.59	0	14.1716	48.08	0	0	0
Site_R112_C3	2D	-1	2016050	6837845	2016050	6836845	186	49	48.58	1	broken_H	vrf	60	-5	5	1	0.58	49.16	1.19	0.58	0	12.0569	32.43	0	0	0
Site_R112_C4	2D	-1	2016050	6833705	2016050	6832705	201	49	47.01	1	broken_H	vrf	60	-5	5	1	-7.23	39.78	15.38	7.23	0	14.6368	38.22	0	0	2.23078
Site_R112_C5	2D	-1	2016050	6829565	2016050	6828565	221	49	51.93	1	broken_H	vrf	60	-5	5	1	-9.53	42.4	18.36	9.53	0	17.6889	38.5	0	0	4.53475
Site_R112_C6	2D	-1	2016050	6825425	2016050	6824425	251	49	65.27	1	broken_H	vrf	60	-5	5	1	-0.02	65.25	0.04	0.02	0	19.9882	48.8	0	0	0
Site_R113_C1	2D	-1	2020553.95	6845595.3	2020554	6845654.7	171	59.4	55.93	1	broken_H	2D	60	-5	5	1	-3.92	52.01	7.01	3.92	0	16.3474	57.06	0	0	0
Site_R113_C2	2D	-1	2020554	6841514	2020554	6841456	176	58	52.75	1	broken_H	2D	60	-5	5	1	-0.55	52.2	1.05	0.55	0	16.914	56.61	0	0	0
Site_R113_C3	2D	-1	2020554	6837370.6	2020554.05	6837319.5	186	51.1	52.1	1	broken_H	2D	60	-5	5	1	-1.67	50.43	3.21	1.67	0	16.8694	48.96	0	0	0
Site_R113_C4	2D	-1	2020554	6833229.6	2020554	6833180.4	201	49.2	53.95	1	broken_H	2D	60	-5	5	1	-4.28	49.67	7.93	4.28	0	23.3977	49.97	0	0	0
Site_R113_C5	2D	-1	2020554	6829086.6	2020554	6829043.4	221	43.2	52.55	0.2	broken_H	2D	60	-5	5	1	-11.09	41.46	21.11	11.09	0	18.7313	45.08	0	0	6.09216
Site_R113_C6	2D	-1	2020554	6824945	2020554	6824905	251	40	50.71	1	broken_H	2D	60	-5	5	1	-0.44	50.27	0.87	0.44	0	19.2463	45.52	0	0	0
Site_R124_C1	2D	1	2070050	6846125	2070050	6845125	141	72.9	65.59	1	chuan	vrf	71	-5	5	1	6.18	71.77	9.43	6.18	0	19.9527	66.55	0	0	1.18191
Site_R124_C2	2D	1	2070050	6841985	2070050	6840985	151	72.9	68.52	1	chuan	vrf	71	-5	5	1	2.61	71.13	3.81	2.61	0	21.8094	67.3	0	0	0
Site_R124_C3	2D	1	2070050	6837845	2070050	6836845	161	72.9	69.33	1	chuan	vrf	71	-5	5	1	2.51	71.84	3.62	2.51	0	23.7663	69.27	0	0	0
Site_R124_C4	2D	1	2070050	6833705	2070050	6832705	191	65.9	61.97	1	chuan	vrf	71	-5	5	1	3.96	65.93	6.4	3.96	0	31.4497	68.47	0	0	0
Site_R124_C5	2D	1	2070050	6829565	2070050	6828565	251	60.9	56.27	1	chuan	vrf	71	-5	5	1	3.79	60.06	6.74	3.79	0	41.9722	67.58	0	0	0
Site_R124_C6	2D	1	2070050	6825425	2070050	6824425	311	59.9	55.95	1	chuan	vrf	71	-5	5	1	5.98	61.93	10.68	5.98	0	33.11	67.74	0	0	0.975245
Site_R125_C1	2D	1	2074554	6845660.2	2074554	6845590.7	141	69.5	70.96	1	chuan	pw	71	-5	5	1	0.04	71	0.05	1.43	0	21.8393	66.24	0	0	0
Site_R125_C2	2D	1	2074554	6841521.7	2074554	6841449.2	151	72.5	71.9	1	chuan	2D	71	-5	5	1	-0.1	71.8	0.14	0.1	0	24.1102	67.99	0	0	0
Site_R125_C3	2D	1	2074554	6837383.1	2074554	6837307.8	161	75.3	69.76	1	chuan	2D	71	-5	5	1	3.56	73.32	5.1	3.56	0	26.1492	70.76	0	0	0
Site_R125_C4	2D	1	2074554	6833244.8	2074554	6833166.1	191	78.7	62.73	0.5	chuan	2D	71	-5	5	1	4.85	67.58	7.74	4.85	0	32.7709	71.26	0	0	0
Site_R125_C5	2D	1	2074554	6829108.5	2074554	6829022.4	251	86.1	55.29	1	chuan	2D	71	-5	5	1	4.19	59.48	7.57	4.19	0	42.941	66.53	0	0	0
Site_R125_C6	2D	1	2074554	6824962.8	2074554	6824888.1	311	74.7	59.23	1	chuan	2D	71	-5	5	1	2.63	61.86	4.44	2.63	0	32.9365	67.71	0	0	0
Site_R126_C1	2D	1	2079050	6846125	2079050	6845125	141	72.9	70.78	1	chuan	vrf	71	-5	5	1	1.07	71.85	1.51	1.07	0	22.4545	66.55	0	0	0
Site_R126_C2	2D	1	2079050	6841985	2079050	6840985	151	72.9	70.58	1	chuan	vrf	71	-5	5	1	1.51	72.09	2.13	1.51	0	24.2343	67.86	0	0	0
Site_R126_C3	2D	1	2079050	6837845	2079050	6836845	161	72.9	72.79	1	chuan	vrf	71	-5	5	1	0.78	73.57	1.07	0.78	0	27.7329	70.9	0	0	0
Site_R126_C4	2D	1	2079050	6833705	2079050	6832705	191	65.9	64.05	1	chuan	vrf	71	-5	5	1	3.8	67.85	5.93	3.8	0	32.1888	71.03	0	0	0
Site_R126_C5	2D	1	2079050	6829565	2079050	6828565	251	60.9	57.37	1	chuan	vrf	71	-5	5	1	4.05	61.42	7.06	4.05	0	40.2802	68.77	0	0	0
Site_R126_C6	2D	1	2079050	6825425	2079050	6824425	311	59.9	58.75	1	chuan	vrf	71	-5	5	1	4.28	63.03	7.29	4.28	0	33.3705	68.74	0	0	0
Site_R127_C1	2D	1	2083554	6845657	2083554	6845593.9	130	63.1	62.42	1	chuan	2D	65	-5	5	1	2.1	64.52	3.36	2.1	0	20.9932	59.69	0	0	0
Site_R127_C2	2D	1	2083554	6841516	2083554	6841454	130	62	59.14	1	chuan	2D	60	-5	5	1	1.29	60.43	2.18	1.29	0	22.4444	56.52	0	0	0
Site_R127_C3	2D	1	2083550	6837845	2083550	6836845	135	63	54.56	1	chuan	vrf	60	-5	5	1	5.76	60.32	10.55	5.76	0	23.8096	56.95	0	0	0.758607
Site_R127_C4	2D	1	2083554	6833237.7	2083554	6833172.4	140	65.3	58.66	1	chuan	2D	60	-5	5	1	2.13	60.79	3.62	2.13	0	24.9853	57.99	0	0	0
Site_R127_C5	2D	1	2083550	6829565	2083550	6828565	145	63	57.4	1	chuan	vrf	60	-5	5	1	3.95	61.35	6.89	3.95	0	25.884	59.12	0	0	0
Site_R127_C6	2D	1	2083554	6824890.9	2083554	6824959.1	150	68.2	58.95	1	chuan	2D	60	-5	5	1	2.85	61.8	4.83	2.85	0	26.8292	60.21	0	0	0
Site_R128_C1	2D	1	2088050	6846125	2088050	6845125	141	72.9	68.13	1	chuan	vrf	71	-5	5	1	3.19	71.32	4.68	3.19	0	21.5948	66.49	0	0	0
Site_R128_C2	2D	1	2088050	6841985	2088050	6840985	151	72.9	67.83	1	chuan	vrf	71	-5	5	1	3.99	71.82	5.88	3.99	0	23.9609	68.01	0	0	0
Site_R128_C3	2D	1	2088050	6837845	2088050	6836845	161	72.9	69.11	1	chuan	vrf	71	-5	5	1	4.11	73.22	5.94	4.11	0	26.1901	70.69	0	0	0
Site_R128_C4	2D	1	2088050	6833705	2088050	6832705	191	65.9	62.54	1	chuan	vrf	71	-5	5	1	5.07	67.61	8.1	5.07	0	32.4489	71.27	0	0	0.065133
Site_R128_C5	2D	1	2088050	6829565	2088050	6828565	251	60.9	54.76	1	chuan	vrf	71	-5	5	1	4.77	59.53	8.7	4.77	0	42.696	66.57	0	0	0
Site_R128_C6	2D	1	2088050	6825425	2088050	6824425	311	59.9	55.72	1	chuan	vrf	71	-5	5	1	6.22	61.94	11.16	6.22	0	32.5999	67.77	0	0	1.21841
Site_R129_C1	2D	1	2092554	6845655.2	2092554	6845594.8	120	60.4	56.16	1	chuan	2D	60	-5	5	1	3.75	59.91	6.67	3.75	0	17.7497	53.61	0	0	0
Site_R129_C2	2D	1	2092554	6841514	2092554	6841456	120	58	54.55	1	chuan	2D	60	-5	5	1	3.14	57.69	5.75	3.14	0	18.8213	52.41	0	0	0
Site_R129_C6	2D	1	2092554	6824896.1	2092554	6824953.9	120	57.8	57.16	1	chuan	2D	60	-5	5	1	1.61	58.77	2.81	1.61	0	19.0565	53.42	0	0	0
Site_R100_C1	2D	-1	1962054	6845604.4	1962054	6845645.6	2030	41.2	53.87	1	den_le	2D	60	-5	5	1	1.23	55.1	2.28	1.23	0	18.9676	52.64	0	0	0
Site_R100_C2	2D	-1	1962054	6841461.9	1962054	6841508.1	2040	46.2	69.25	1	den_le	2D	80	-5	5	1	-1.15	68.1	1.66	1.15	0	23.4664	64.89	0	0	0
Site_R100_C3	2D	-1	1962054	6837317.4	1962054	6837372.6	2050	55.2	85.77	1	den_le	2D	100	-5	5	1	-0.05	85.72	0.06	0.05	0	28.8387	80.59	0	0	0
Site_R100_C4	2D	-1	1962054	6833164.8	1962054	6833245.2	2070	80.4	123.58	1	den_le	2D	140	-5	5	1	-2.3	121.28	1.86	2.3	0	34.9832	110.65	0	0	0
Site_R100_C5	2D	-1	1962054	6829000.5	1962054	6829129.5	2100	129	176.25	1	den_le	2D	200	-6.45	6.45	1	-1.74	174.51	0.99	1.74	0	41.9318	159.28	0	0	0
Site_R100_C6	2D	-1	1962053.85	6824814.5	1962053.85	6825035.5	2150	221	268.67	1	den_le	2D	300	-11.05	11.05	1	-3.71	264.96	1.38	3.71	0	40.2771	249.44	0	0	0
Site_R101_C1	2D	-1	1966550	6846125	1966550	6845125	2030	49	56.37	1	den_le	vrf	60	-5	5	1	-2.37	54	4.2	2.37	0	19.2171	48.61	0	0	0
Site_R101_C2	2D	-1	1966550	6841985	1966550	6840985	2040	63	67.86	1	den_le	vrf	80	-5	5	1	0.05	67.91	0.07	0.05	0	24.0167	61.68	0	0	0
Site_R101_C3	2D	-1	1966550	6837845	1966550	6836845	2050	81	89.27	1	den_le	vrf	100	-5	5	1	-2.77	86.5	3.1	2.77	0	29.9837	78.39	0	0	0
