Row Labels	DrawCD	rangeMin	rangeMax	plotCD	waferCD	ModelCD	ModelError
Site_R17_C1	70.3	-2	2	71	62.42	60.25	-2.17
Site_R17_C2	69.9	-2	2	75	61.33	60.09	-1.24
Site_R17_C3	83.6	-2	2	80	64.24	63.86	-0.38
Site_R17_C4	85.5	-2	2	85	66.88	66.09	-0.79
Site_R17_C5	89.2	-2	2	90	70.88	71.11	0.23
Site_R17_C6	95.6	-2	2	100	79.44	78.99	-0.45
Site_R18_C1	103.1	-2.062	2.062	110	88.83	88.57	-0.26
Site_R18_C2	110.9	-2.218	2.218	120	98.79	97.9	-0.89
Site_R18_C3	119.2	-2.384	2.384	130	108.12	106.74	-1.38
Site_R18_C4	127.9	-2.558	2.558	140	117.12	116.02	-1.1
Site_R18_C5	137	-2.74	2.74	150	125.64	124.04	-1.6
Site_R18_C6	146.4	-2.928	2.928	160	133.43	133.14	-0.29
Site_R19_C2	183.3	-3.666	3.666	200	171.85	170.05	-1.8
Site_R19_C3	200.2	-4.004	4.004	220	190.51	188.7	-1.81
Site_R19_C4	226	-4.52	4.52	250	216.96	215.57	-1.39
Site_R19_C5	271.4	-5.428	5.428	300	262.27	261.04	-1.23
Site_R20_C1	363.2	-7.264	7.264	400	355.16	351.33	-3.83
Site_R20_C2	408.8	-8.176	8.176	450	397.19	396.61	-0.58
Site_R20_C3	454.2	-9.084	9.084	500	444.75	441.64	-3.11
Site_R20_C4	543.8	-10.876	10.876	600	532.8	531.69	-1.11
Site_R20_C5	723.4	-14.468	14.468	800	718.81	711.55	-7.26
Site_R20_C6	903.4	-18.068	18.068	1000	893.24	891.69	-1.55
